Year,Subject,Topic,Type,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Theory_Answer
2024,Computing,Internet,Objective,Which search engine feature is used to look up matching pages based on input words?,Browser,Cookie,Keyword,Hyperlink,C,
2026,Computing,Security,Objective,What type of attack involves intercepting and altering communications between two parties without their knowledge?,Phishing,Man-in-the-Middle,DDoS,Ransomware,B,
2024,Computing,Software,Objective,What is the name of the small software update released to fix a specific bug or security vulnerability?,Beta,Patch,Driver,Upgrade,B,
2024,Computing,Database,Objective,Which clause is used in an SQL query to filter records based on a specified condition?,SELECT,FROM,WHERE,GROUP BY,C,
2025,Computing,Word Processing,Objective,Which tool helps you find synonyms or alternative words for a selected word within a document?,Spell Check,Dictionary,Thesaurus,Autocorrect,C,
2026,Computing,Security,Objective,Which protocol provides an encrypted tunnel for transfering files securely across a computer network?,FTP,SFTP,HTTP,SMTP,B,
2025,Computing,Internet,Objective,What type of small data file do websites store on a user device to remember preferences and track sessions?,Cache,Cookie,History,Bookmark,B,
2024,Computing,Presentation,Objective,Which slide acts as the primary template controlling the baseline fonts backgrounds and layouts for a whole show?,Title Slide,Handout Master,Slide Master,Notes Master,C,
2026,Computing,Networking,Objective,What is the name of the physical address hardcoded onto a network interface card during manufacturing?,IP Address,Subnet Mask,Gateway,MAC Address,D,
2025,Computing,Presentation,Objective,Which aspect ratio is the standard modern widescreen format used for high-definition displays?,4:3,1:1,16:9,21:9,C,
2026,Computing,Hardware,Objective,Which internal unit manages the extraction and execution of program instructions within the CPU?,ALU,Control Unit,Registers,Cache,B,
2025,Computing,Networking,Objective,Which wireless standard is used to connect local devices to the internet via radio waves over short distances?,Cellular,Bluetooth,Wi-Fi,Ethernet,C,
2024,Computing,Internet,Objective,Which cloud service model delivers basic hardware infrastructure like virtual servers and storage over the net?,SaaS,PaaS,IaaS,DaaS,C,
2026,Computing,Security,Objective,What type of malware demands monetary payment after encrypting a victim's files and locking them out?,Spyware,Ransomware,Trojan Horse,Adware,B,
2024,Computing,Networking,Objective,What network tier spans across massive geographic areas countries or continents?,LAN,MAN,PAN,WAN,D,
2024,Computing,Security,Objective,Which protocol is used to securely encrypt standard web traffic making online transactions safe?,HTTP,FTP,HTTPS,SMTP,C,
2023,Computing,Security,Objective,What authentication method uses unique biological traits like fingerprints or facial recognition to grant access?,Passwords,Tokens,Biometrics,PINs,C,
2026,Computing,Networking,Objective,Which layer of the standard OSI model handles logical addressing packet routing and path determination?,Physical Layer,Data Link Layer,Network Layer,Transport Layer,C,
2024,Computing,Presentation,Objective,Which format allows you to save a slide deck so it automatically opens directly into presenter show mode?,.pptx,.pdf,.ppsx,.potx,C,
2025,Computing,Software,Objective,What form of system software handles the direct communication and control interface with specific external hardware accessories?,Operating System,Device Driver,Utility Software,Firmware,B,
2026,Computing,Presentation,Objective,Which action inserts an interactive link pointing to a web page file or another slide within a presentation?,Bookmark,Cross-reference,Hyperlink,Macro,C,
2023,Computing,Word Processing,Objective,Which function automatically moves text to the next line when a typed word reaches the right-side boundary page?,Word Wrap,AutoCorrect,Line Break,Page break,A,
2023,Computing,Software,Objective,What is the name given to software that is free to download use and modify because its source code is public?,Proprietary Software,Shareware,Open-Source Software,Adware,C,
2022,Computing,Spreadsheet,Objective,Which symbol is placed in a spreadsheet formula cell address to freeze it as an absolute reference?,$,#,*,@,A,
2024,Computing,Software,Objective,What type of computing license requires users to pay ongoing fees to use software over a specified duration?,Freeware,Perpetual License,Subscription License,Public Domain,C,
2023,Computing,Software,Objective,Which systems processing type handles tasks in batches without requiring interactive real-time user input data?,Real-time Processing,Batch Processing,Multiprocessing,Time-sharing,B,
2024,Computing,Presentation,Objective,What is the term for a pre-made collection of shapes icons illustrations and artwork available in office tools?,WordArt,SmartArt,Clipart,Shapes,C,
2023,Computing,Word Processing,Objective,Which tool allows a user to reverse the last change or mistake made in a text document?,Redo,Undo,Cut,Clear,B,
2026,Computing,Internet,Objective,What protocol is universally used to send outgoing email messages across internet server networks?,POP3,IMAP,SMTP,FTP,C,
2024,Computing,Internet,Objective,What architecture network system allows multiple computers to share resources directly without a centralized server node?,Client-Server,Peer-to-Peer,Cloud Architecture,Mainframe Network,B,
2025,Computing,Spreadsheet,Objective,Which error code indicates that a spreadsheet formula cannot find a value or item referenced within its lookup arrays?,#VALUE!,#NAME?,#REF!,#N/A,D,
2022,Computing,Presentation,Objective,Which file format should you choose to export static presentation slides so they can be read on any device without software changes?,.docx,.pdf,.gif,.html,B,
2022,Computing,Spreadsheet,Objective,Which of the following functions calculates the average of a specific numerical cell range within a worksheet?,SUM,COUNT,AVERAGE,MEDIAN,C,
2022,Computing,Database,Objective,What type of relationship exists when one record in table A connects to multiple records in table B?,One-to-One,One-to-Many,Many-to-Many,Self-Referencing,B,
2023,Computing,Word Processing,Objective,What function replaces every instance of a designated word with a new term throughout an entire file?,Find,Track Changes,Autocorrect,Replace,D,
2023,Computing,Networking,Objective,Which networking device broadcasts incoming data packets indiscriminately to every single connected machine or port?,Switch,Router,Gateway,Hub,D,
2023,Computing,Programming,Objective,Which fundamental control structure evaluates a conditional statement to decide between two distinct execution paths?,Loop,Function,Array,If-Else,D,
2026,Computing,Word Processing,Objective,What indicator shows where the next typed letter character or symbol will appear on the document canvas?,Pointer,Cursor,Marker,Selector,B,
2024,Computing,Presentation,Objective,Which layout template provides a set of pre-designed color palettes background graphics and coordinated text styles?,Slide Master,Theme,Layout,Design View,B,
2025,Computing,Security,Objective,What process transforms readable data plaintext into an unreadable scrambled form ciphertext to prevent unauthorized access?,Decryption,Authentication,Hashing,Encryption,D,
2022,Computing,Security,Objective,Which security incident involves an unauthorized entity gaining access to a private internal database system?,Data Breach,Phishing,Denial of Service,Ransomware,A,
2022,Computing,Database,Objective,Which field attribute ensures that a specific column within a table cannot contain empty or missing values?,Unique,Primary Key,Not Null,Default,C,
2026,Computing,Internet,Objective,What technology converts human-readable site updates into standard formats so users can subscribe to feed aggregation?,HTML,RSS,FTP,URL,B,
2026,Computing,Security,Objective,What type of security software prevents unauthorized applications or connections from running on a computer endpoint?,Antivirus,Firewall,Intrusion Detection System,Anti-Spyware,B,
2022,Computing,Hardware,Objective,Which component of a computer system handles the raw arithmetic operations and complex logical decision checks?,Control Unit,ALU,Registers,Cache Memory,B,
2023,Computing,Hardware,Objective,Which non-volatile computer memory store holds the critical startup firmware routines needed to boot a system initially?,RAM,ROM,Cache,Hard Drive,B,
2026,Computing,Internet,Objective,Which technology connects everyday physical objects to the internet allowing them to transmit sensor metrics independently?,Cloud Computing,Big Data,Internet of Things,Artificial Intelligence,C,
2026,Computing,Word Processing,Objective,Which document formatting option adds a light text pattern like CONFIDENTIAL directly behind your page text?,Header,Footer,Watermark,Border,C,
2023,Computing,Database,Objective,What name is given to a structured object used to extract specific data rows matching criteria from tables?,Table,Form,Report,Query,D,
2024,Computing,Programming,Objective,What error occurs when a developer violates the structural grammar rules of a programming language?,Runtime Error,Logic Error,Syntax Error,Compilation Error,C,
2024,Computing,Software,Objective,What is the name for software provided for free on a trial basis but requiring payment for continued use?,Freeware,Shareware,Proprietary,Adware,B,
2024,Computing,Database,Objective,Which field type is optimized to store alphanumeric data sentences characters or long phrases in databases?,Integer,Float,Text,Boolean,C,
2023,Computing,Security,Objective,What tool generates a sequence of random numeric characters sent to a smartphone to verify a login?,Password,One-Time Password,Digital Certificate,Encryption Key,B,
2025,Computing,Spreadsheet,Objective,Which command combines multiple touching cells into a single large cell while centering the text within it?,Wrap Text,Merge and Center,Align Grid,Group Cells,B,
2025,Computing,Security,Objective,What type of malware disguises itself as a useful legitimate utility program to trick users into running it?,Virus,Trojan Horse,Worm,Rootkit,B,
2023,Computing,Internet,Objective,Which protocol handles the automatic assignment of network IP configuration parameters to client workstations?,DNS,FTP,SMTP,DHCP,D,
2025,Computing,Spreadsheet,Objective,Which function counts only the cells containing numeric values within a specified worksheet range?,COUNTA,COUNTBLANK,COUNT,COUNTIF,C,
2023,Computing,Internet,Objective,Which system translates a text domain name like example.com into the corresponding numerical network IP address?,DHCP,URL,DNS,WINS,C,
2022,Computing,Software,Objective,What is the name of the system software framework that controls hardware interactions and supports application software execution?,Firmware,Operating System,Utility Program,Database System,B,
2026,Computing,Hardware,Objective,Which type of input device converts physical images pages or printed documents into digital image files?,Printer,Scanner,Plotter,Digitizer,B,
2022,Computing,Software,Objective,Which file compression format packs large files into a smaller container to facilitate faster web transfer?,.exe,.zip,.pdf,.txt,B,
2025,Computing,Software,Objective,What is the name for software whose source code is kept secret and restricted by copyright law restrictions?,Open-Source Software,Shareware,Proprietary Software,Public Domain Software,C,
2026,Computing,Hardware,Objective,Which metric represents the operational cycle processing speed of a modern desktop computer processor?,Megabytes,Gigahertz,Watts,Gigabytes,B,
2026,Computing,Internet,Objective,What system uses secure cloud networks to deliver computing power data storage and application capabilities over the net?,Local Host,Intranet,Cloud Computing,Edge Server,C,
2023,Computing,Spreadsheet,Objective,What type of visual chart plots data values along an ongoing timeline to illustrate trend lines over time?,Pie Chart,Bar Chart,Line Chart,Scatter Plot,C,
2024,Computing,Internet,Objective,Which network protocol handles the secure transfer of files between a local computer and a remote host storage?,HTTP,SMTP,IMAP,FTP,D,
2024,Computing,Networking,Objective,Which network architecture uses a main backbone line to link all computer workstations sequentially?,Star Topology,Bus Topology,Mesh Topology,Ring Topology,B,
2023,Computing,Internet,Objective,Which web platform format allows multiple collaborative users to edit create modify or delete site content together?,Blog,Forum,Wiki,Portal,C,
2025,Computing,Database,Objective,What is the process of organizing database fields and tables to minimize redundancy and dependency defects?,Normalization,Indexing,Migration,Aggregation,A,
2022,Computing,Security,Objective,What type of verification requires a user to enter both a password and a secondary code sent via phone?,Biometric Check,Single Sign-On,Two-Factor Authentication,Captcha,C,
2022,Computing,Security,Objective,Which malicious activity involves monitoring network data packets to steal unencrypted sensitive private text entries?,Spoofing,Eavesdropping,Phishing,Denial of Service,B,
2024,Computing,Networking,Objective,What device amplifies incoming weak network media signals to extend total cable run distances?,Repeater,Bridge,Switch,Router,A,
2023,Computing,Spreadsheet,Objective,Which formula returns the current real-time system date and time inside a spreadsheet cell?,TODAY(),NOW(),DATE(),TIME(),B,
2023,Computing,Hardware,Objective,Which system component controls internal data flow exchanges among CPU arithmetic units registers and external components?,ALU,Bus,Clock,Control Unit,D,
2024,Computing,Spreadsheet,Objective,What visual formatting highlights specific spreadsheet cells automatically if they cross defined threshold rules?,Format Painter,Conditional Formatting,Cell Styles,AutoFormat,B,
2024,Computing,Security,Objective,What hardware or software mechanism protects a computer network by filtering unauthorized connection attempts?,Antivirus,Gateway,Firewall,Proxy,C,
2026,Computing,Presentation,Objective,Which view layout splits the presentation workspace to display the slide visual edit box and typed presenter script notes together?,Slide Sorter View,Slide Show View,Outline View,Presenter View,D,
2022,Computing,Database,Objective,Which field constraint enforces validation rules ensuring that entries match specific requirements?,Unique,Default,Check,Foreign Key,C,
2022,Computing,Database,Objective,Which operation deletes an existing database table structural container permanently along with all its data content?,REMOVE,DELETE,TRUNCATE,DROP,D,
2025,Computing,Word Processing,Objective,Which feature automatically inserts text page numbers or document details at the top of every document page?,Footnote,Footer,Header,Caption,C,
2023,Computing,Database,Objective,Which relationship link connects a table column attribute to the primary key field of another external table?,Foreign Key,Unique Key,Composite Key,Candidate Key,A,
2024,Computing,Internet,Objective,What category of internet software provides organized search indices to help web surfers find relevant online pages?,Web Server,Search Engine,Internet Provider,DNS Server,B,
2026,Computing,Software,Objective,What type of application allows users to create edit format print and export documents?,Spreadsheet,Database,Presentation,Word Processor,D,
2024,Computing,Hardware,Objective,Which type of storage device utilizes flash memory chips with no moving mechanical parts for faster performance?,HDD,Magnetic Tape,Floppy Disk,SSD,D,
2022,Computing,Networking,Objective,What network type connects computer systems across a localized metropolitan municipal area size?,LAN,MAN,WAN,PAN,B,
2023,Computing,Networking,Objective,Which structural arrangement links all computing devices sequentially in a closed loop cycle format?,Star Topology,Bus Topology,Ring Topology,Mesh Topology,C,
2024,Computing,Security,Objective,What type of cyber threat blocks system access and encrypts file contents until cash is paid out?,Spyware,Worm,Ransomware,Adware,C,
2024,Computing,Networking,Objective,Which networking device forwards data frames to specific ports using a table of hardware MAC addresses?,Hub,Bridge,Switch,Router,C,
2022,Computing,Word Processing,Objective,Which formatting option slants selected text slightly to highlight terms definitions or emphasis phrases?,Bold,Italic,Underline,Strikethrough,B,
2026,Computing,Programming,Objective,What structural container type stores an indexed collection of elements belonging to the exact same data type?,Variable,Array,Object,Function,B,
